(Rs. mln),No. of Industries Registered,No. of Industries Registered,Total Capital Investment (Rs. mln),Total Capital Investment (Rs. mln),Total No. of Employment,Total No. of Employment
Category,2067/68,2068/69,2067/68,2068/69,2067/68,2068/69
Agro Based,21,12,536.56,161.2,787,396
Construction,1,2,45.00,490.0,33,176
Energy Based,19,33,67753.12,55014.91,3387,1816
Manufacturing,68,59,7432.69,17189.88,4282,6527
Mineral,4,7,99.60,164,426,607
Service,81,105,11798.46,9596.7,3016,5530
Tourism,48,61,2750.14,1810.71,1796,1908
Total,242,279,90415.58,84427.39,13727,16960
