Name of the PE's,2015/16,2016/17,Change %compared to 2015/16,2017/18 Target
Industrial Sector,,,,
Dairy Development Corporation,1574,-2139,-235.90,50
Herbs Production and Processing Company Ltd.,5503,71,-98.71,71
Hetauda Cement Industry Ltd.,430,1549,260.23,2440
Janakpur Cigarette Factory Ltd.,-884,-384,-56.56,-
Nepal Aushadhi Ltd.,-1550,-1387,-10.53,-2959
Udayapur Cement Industries Ltd.,-1925,377,119.58,3940
Nepal Orind Magnesite Pvt. Ltd.,-1560,-1195,-23.40,-6184
Total,1588,-3108,-295.75,-2642
Trading Sector,,,,
Agriculture Inputs Company Ltd.,62,1321,2018.68,529
National Seeds Company Ltd.,347,455,31.30,43
National Trading Ltd.,-1660,14303,961.48,-
Nepal Food Corporation,-272,642,336.03,681
Nepal Oil Corporation Ltd.,193591,104114,-46.22,109319
The Timber Corporation of Nepal Ltd.,402,-188,-146.77,923
Total,192470,120647,-37.32,111495
Service Sector,,,,
Industrial Districts Management Ltd.,437,404,-7.56,214
National Construction Company Nepal Ltd.,-,-,-,-
Nepal Transit and Warehousing Company Ltd.,201,255,26.87,262
Nepal Engineering Consultancy Service Center Ltd.,-,-,-,-
Napal Airlines Corporation,433,1663,284.06,737
National Productivity & Eco. Dev. Center Ltd.,-71,-71,0.57,-205
Civil Aviation Authority of Nepal,14187,15072,6.24,7874
Total,15187,17323,14.06,8882
Social Sector,,,,
Cultural Corporation,-220,-276,25.33,-164
Gorkhapatra Corporation,511,1009,97.46,-
Janak Education Material Centre Ltd.,-1184,-3162,167.17,606
Nepal Television,-899,-960,6.79,-1253
Rastriya Aawas Company Ltd.,-29,-334,1051.72,701
Total,-1821,-3723,104.48,-111
Public Utility Sector,,,,
Nepal Water Supply Corporation,-434,-2079,379.03,-2747
Nepal Electricity Authority,-89032,15122,116.98,4382
Nepal Doorsanchar Company Ltd.,132705,153728,15.84,162993
Vidhyut Utpadan Company Ltd.,,-323,-,305
Rastriya Prasaran Grid Company Ltd.,,47,-,83
Total,43239,166495,285.06,165016
Financial Sector,,,,
Agricultural Development Bank Ltd.,25314,25652,1.34,28388
Rastriya Beema Corporation,1408,68,-95.17,80
Rastriya Beema Company Ltd.,1638,2370,44.69,2307
NIDC Development Bank Ltd.,4060,2090,-48.52,778
Rastriya Banijya Bank Ltd.,23553,27763,17.88,37128
Deposit and Credit Guarantee Fund,5666,9206,62.48,9439
Nepal Stock Exchange Ltd.,4897,3721,-24.01,4093
Citizen Investment Trust,156,9684,6107.69,4801
Jalvidhyut Lagani Tatha Bikas Company Ltd.,2540,4910,93.29,6632
Nepal Bank Ltd.,28830,31179,8.15,20257
Total,98061,116643,18.95,113904
Rs. in Lakh,,,,
