Description,2014/15,2015/16,2016/17,Ratio with GDP (%) 2014/15,Ratio with GDP (%) 2015/16,Ratio with GDP (%) 2016/17,
(A )  Total Issue,42422.6,87774.5,88337.8,2,3.9,3.4,
Treasury Bill,10000,20500,33000,0.47,0.91,1.27,
Development Bond,30000,62000,55000,1.41,2.76,2.12,
National Saving Bond,0,0,0,0,0,0,
Citizen Saving Bond,2339.4,5000,285.7,0.11,0.22,0.01,
Foreign Employment Bond,83.2,274.5,52.1,0,0.01,0,
Special Bond,0,0,0,0,0,0,
(B)   Payment,47454.9,50402.4,38785.1,2.23,2.24,1.49,
Treasury Bill,26610,24299,38649.9,1.25,1.08,1.49,
Development Bond,20040.9,10170,0,0.94,0.45,0,
National Saving Bond,0,15680,0,0,0.7,0,
Citizen Saving Bond,800,250,126.6,0.04,0.01,0,
Foreign Employment Bond,4,3.4,8.7,0,0,0,
Special Bond,0,0,0,0,0,0,
(C)   Net Domestic Debt,-5032.3,37372.1,49552.7,-0.24,1.66,1.91,
Treasury Bill,-16610,-3799,-5649.9,-0.78,-0.17,-0.22,
Development Bond,9959.1,51830,55000,0.47,2.3,2.12,
National Saving Bond,0,-15680,0,0,-0.7,0,
Citizen Saving Bond,1539.4,4750,159.1,0.07,0.21,0.01,
Foreign Employment Bond,79.2,271.1,43.4,0,0.01,0,
Special Bond,0,0,0,0,0,0,
(D)  Total Outstanding Domestic Debt,196785.7,234157.9,283710.6,9.26,10.41,10.92,
Gross Domestic Product,2124650,2248691,2599234, ---, ---, ---,
