 -,Description,FY2015/16,FY2016/17
 -,"1. Import Duties (Percent)",5   10   15   20   30   80,5   10   15   20   30   80
 -,"2. Export Duties (Percent)",10   200,10   200
 -,"3. Excise (Percent)","5    10    15    30    35    40   50   55   60","5    10    15    30    35    40   50   55   60"
 -,4.   VAT (Percent),13 Percent,13 Percent
 -,Income Tax ,Income Tax ,Income Tax 
(a)  Exemption Threshold ,i)Individual ,Rs. 250000 ,Rs. 300000 
(a)  Exemption Threshold ,(ii)  Couple or Family ,Rs. 300000 ,Rs. 400000 
(b) Tax Rates (Percent) ,(i)   Up to exemption threshold of taxable income from employment ,1 Percent ,1 Percent 
(b) Tax Rates (Percent) ,(ii)  First Rs. 100  000 after Exemption Limit ,15 Percent ,15 Percent 
(b) Tax Rates (Percent) ,(iii)  On residual amount ,25 Percent ,25 Percent 
(b) Tax Rates (Percent) ,(iv)  On additional 25 percent tax amount after Rs. 25 lakh ,40 Percent ,40 Percent 
 -,Corporate Tax ,Corporate Tax ,Corporate Tax 
(a)  Flat Rate on Corporate Net Income ,      (i)  Banks and Financial Institutions ,30 Percent ,30 Percent 
(a)  Flat Rate on Corporate Net Income ,      (ii)  Others ,25 Percent ,25 Percent 
 -,(b)  Partnership Firm ,25 Percent ,25 Percent 
 -,House Rent Tax ,10 Percent ,10 Percent 
 -,Meeting Allowance,15 Percent,15 Percent
 -,Commission,15 Percent,15 Percent
 -,Lottery   Gift   Prize,25 Percent,25 Percent
 -,Interest Tax,5 Percent,5 Percent
 -,Provident Fund and Pension,5 Percent,5 Percent
 -,Government Securities,5 Percent,5 Percent
 -,Dividend Tax,5 Percent,5 Percent
