(A) Deposits for Obtaining a Licence for Foreign Investment, --
Fixed Capital,Deposit (Rs)
Up  to  Rs  500000,Rs 1000
Rs  5000000-Rs  1  million,Rs 2000
Rs 1 million-Rs 2.5 million,Rs 4000
Rs 2.5 million-Rs 5 million,Rs 7000
Rs 5 million-Rs 10 million,Rs 10000
Above Rs 10 million,Rs 20000
(B) Company Registration Fees, --
a. Public Limited Company, --
Authorised Capital,Registration Fees
Up  toRs  100000,Rs  400
Rs  100000  toRs  500000,Rs  2500
Rs  500001  toRs  1000000,Rs  5000
Rs  1000001to  Rs  5000000,Rs  7500
Rs  500000  to  Rs  10000000,Rs  7800
Rs  10000001  to  Rs  100000000,Rs10000
Above  Rs  100000000,"Rs5.00
per each 100000"
b.  Private  Limited  Company  or  Proprietor- ship    (Pvt.) Firm, --
Authorised Capital/Total Capital,Registration Fees
Up  to  Rs  100000,Rs  400.00
Rs  100001  to  Rs  500000,Rs  2600.00
Rs  500001to  Rs  1000000,Rs  5100.00
Rs  100000  to  Rs  2500000,Rs  7600.00
Rs  250000  to  Rs  5000000,Rs  8000.00
Rs  5000001  to  Rs  10000000,Rs  12000.00
Above  Rs  10000000,"Rs  2.00
per each 100000"
c. Partnership Firm, --
Total Capital,Registration Fees
Up  to  Rs  20000,Rs 50
Rs 20000 - Rs 50000,Rs  100
Rs 50000 - Rs 100000,Rs  250
Rs 100000 - Rs 300000,Rs  850
Rs 300000 - Rs 500000,Rs  1400
Rs 500000 - Rs 1 million,Rs  3000
Rs 1 million - Rs 5 million,Rs  4500
Above Rs 5 million,Rs  6500
d. Private Firm., --
Total Capital,Registration Fees
Up  to  Rs  50000,Rs  120
Rs 50000 - Rs 100000,Rs  300
Rs 100000 - Rs 300000,Rs  1170
Rs 300000 - Rs 500000,Rs  1950
Rs 500000 - Rs 1 million,Rs  3900
Rs 1 million - Rs 5 million,Rs  5850
Above Rs 5 million,Rs  7800
Note: 1. * Per year,
2. Duration of Patent Design and Trademark:,
Patent years (renewal twice total duration: 21 years),
Design - 5 years (renewal twice total duration: 15 years),
Trademark -7 years (to be renewed at 7 years interval),
