year and Growth,2003/04,2006/07     2009/10,,2012/13,average annual Growth rate (%),
,,,,,2002/03-2008/09,2009/10-2012/13
categories,0,0,0,0,0,0
Goods Export FOB,748.35,872.18,848.02,977.16,5.88,2.09
Service Export,464.99,455.02,686.18,1081.71,14.72,12.42
Inflow of Remittance,793.87,1420.49,3110.41,4938.43,26.83,16.16
total,2007.21,2747.69,4644.61,6997.30,17.45,12.93
Goods Import CIF,1800.95,2701.24,4922.05,6219.25,15.27,15.00
Service Import,342.02,573.85,906.12,995.51,22.79,6.73
total,2142.97,3275.08,5828.17,7214.76,16.40,13.33
,,,,,,
